seed,condition,regret,birth_accuracy,final_accuracy,adaptation_lag,early_10,regret_10,early_25,regret_25,early_50,regret_50,git_dirty
1,individual,120.5138884489942,0.2850694439580871,0.7015625013271347,,0.6991319440227622,12.03472223908951,0.6935416674086203,30.64583325913797,0.697256945221064,60.548610955787204,0.0
1,random,108.80208334187046,0.27222222345881164,0.7287152780038821,,0.7257812504475523,10.968749982097911,0.7293402773664437,27.065972263355636,0.7300173608262815,53.996527834743674,0.0
1,scrambled,104.1597224272684,0.27222222345881164,0.7443055549688223,,0.7234375004708353,11.062499981166589,0.7306597219831827,26.934027801681722,0.7361979161660808,52.76041676678384,0.0
1,shuffled,89.46180646902778,0.27222222345881164,0.7924305525194439,,0.7300347228883766,10.798611084464937,0.7430555550769592,25.694444492304076,0.7628298594836249,47.43402810327502,0.0
2,ablated,120.28819402007178,0.25555555641444194,0.7019097231406097,,0.6986111104035646,12.055555583857414,0.6953819448982055,30.46180551017945,0.6971875009566753,60.56249980866495,0.0
2,best_fixed,87.13888987355556,0.2361111135687679,0.8028124965779069,,0.728645832659418,10.85416669362328,0.7445486100261203,25.54513899738797,0.7657465259169435,46.850694816611295,0.0
2,evolved,87.63541756689341,0.2361111135687679,0.798124996960784,,0.7253472219324775,10.986111122700903,0.7419444435871103,25.805555641288972,0.7656076371035953,46.87847257928095,0.0
2,fixed,110.20833326581244,0.2361111135687679,0.7213194444827322,,0.7244791666356226,11.020833334575096,0.7286458329659783,27.135416703402168,0.7282812498341729,54.343750033165435,0.0
2,individual,120.28819402007178,0.25555555641444194,0.7019097231406097,,0.6986111104035646,12.055555583857414,0.6953819448982055,30.46180551017945,0.6971875009566753,60.56249980866495,0.0
2,random,109.1319443950326,0.2361111135687679,0.7268055554686321,,0.7231770830306535,11.07291667877386,0.7286111107872179,27.13888892127822,0.729062499857456,54.18750002850882,0.0
2,scrambled,102.89236133116194,0.2361111135687679,0.748055554414168,,0.7256944445673272,10.972222217306909,0.7317013886705455,26.829861132945453,0.7386631941112379,52.26736117775241,0.0
2,shuffled,85.29861214958753,0.2361111135687679,0.8033333297249757,,0.7269965270922208,10.920138916311165,0.7449305545254092,25.50694454745907,0.770885414613359,45.822917077328185,0.0
3,ablated,120.91319401308687,0.18854166763938135,0.6970486128185358,,0.6875868052334732,12.496527790661073,0.6881944447083191,31.180555529168082,0.695954861824349,60.80902763513021,0.0
3,best_fixed,88.12847318696893,0.2166666683430473,0.7942013860680164,,0.7166666662152339,11.333333351390642,0.7395138876616127,26.04861123383873,0.7637499979347921,47.25000041304156,0.0
3,evolved,88.69791771207626,0.2166666683430473,0.7926388861197564,,0.7129340272448543,11.482638910205829,0.734722221042547,26.527777895745302,0.7624131921381276,47.51736157237448,0.0
3,fixed,111.08333324961778,0.2166666683430473,0.7155555569308085,,0.7131944435532205,11.47222225787118,0.7223263878633993,27.767361213660074,0.7269270827217649,54.61458345564703,0.0
3,individual,120.91319401308687,0.18854166763938135,0.6970486128185358,,0.6875868052334732,12.496527790661073,0.6881944447083191,31.180555529168082,0.695954861824349,60.80902763513021,0.0
3,random,109.54166666656319,0.2166666683430473,0.7222569451563888,,0.7131076382938772,11.47569446824491,0.7236805548011842,27.63194451988157,0.7286284716592895,54.274305668142105,0.0
3,scrambled,101.00347259961482,0.2166666683430473,0.7526736105223083,,0.7131076384361626,11.475694462553495,0.7284027770109889,27.159722298901116,0.7413541656194461,51.72916687611077,0.0
3,shuffled,88.20833437791508,0.2166666683430473,0.7939930527471006,,0.7131076384038251,11.475694463846999,0.7358333321495188,26.416666785048115,0.7634722199562627,47.305556008747466,0.0
4,ablated,120.79166637811188,0.23506944445479247,0.6961111125484523,,0.7052951382292021,11.788194470831918,0.7003819446053563,29.961805539464372,0.6971180560067296,60.57638879865408,0.0
4,best_fixed,87.67361214591398,0.23402777960937884,0.7988194411103096,,0.7359374997839849,10.562500008640605,0.7484374985124709,25.15625014875291,0.7638888870133087,47.22222259733826,0.0
4,evolved,87.8680564957257,0.23402777960937884,0.7943402749382787,,0.7320312500620881,10.718749997516474,0.7444444432958133,25.555555670418673,0.7646354150169322,47.07291699661356,0.0
4,fixed,111.04166665812954,0.23402777960937884,0.7165972229300274,,0.7295138887711801,10.819444449152797,0.7319097216525632,26.809027834743674,0.7255555553038397,54.88888893923205,0.0
